"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
trial_no,eoi,,text,"REDCap auto number",,,,,,,,y,,,,,
eoi_heading,eoi,,descriptive,"<div class=""rich-text-field-label""><div class=""blue"" style=""text-align: center; background-color: #003366; border: 1px solid #000000;""> <h6 style=""text-align: center;""><span style=""color: #ffffff;""><strong>Florey Clinical Governance</strong></span></h6> <h6 style=""text-align: center;""><span style=""color: #ffffff;""><strong>Notification of New Study</strong></span></h6> </div></div>",,,,,,,,,,,,,
florey_yn,eoi,,yesno,"<div class=""rich-text-field-label""><p>Is the lead Investigator affiliated with the Florey?</p> <p><span style=""font-weight: normal;""><em>Either paid staff or Term Visitor and acting in this capacity for the study</em></span></p> <p><span style=""font-weight: normal;""><em>Lead Investigator = Principal Investigator for the overall study or Florey site</em></span></p></div>",,,,,,,,,RH,,,,
yes_florey_study,eoi,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #c1ffc1; padding: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Please continue with the survey below.</span></p> </div></div>",,,,,,,"[florey_yn] = '1'",,,,,,
no_florey_study,eoi,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffe1e1; padding: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Registration in the Florey Clinical Studies Registry is not required.</span></p> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Thank you - no further action is needed.</span></p> </div></div>",,,,,,,"[florey_yn] = '0'",,,,,,
ethics_yn,eoi,,yesno,"<div class=""rich-text-field-label""><p>Does your project involve:</p> <ul> <li>human participants,</li> <li>their data,</li> <li>or biospecimens,</li> </ul> <p>and therefore require Human Research Ethics Committee (HREC) approval?</p></div>",,,,,,,"[florey_yn] = '1'",,RH,,,,
yes_clinical_study,eoi,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #c1ffc1; padding: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;""><strong data-start=""729"" data-end=""797"">You <span style=""text-decoration: underline;"">are</span> conducting a Florey <span style=""text-decoration: underline;"">Clinical</span> Study.</strong></p> <span style=""font-weight: normal;"">You must register your study in the Florey Clinical Studies Registry. </span><span style=""font-weight: normal;""><span style=""font-weight: normal;""><br /></span></span><span style=""font-weight: normal;"">Please continue with the survey below.</span></div></div>",,,,,,,"[ethics_yn] = '1'",,,,,,
no_clinical_study,eoi,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffe1e1; padding: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;""><strong data-start=""963"" data-end=""1031"">You are <span style=""text-decoration: underline;"">not</span> conducting a Florey <span style=""text-decoration: underline;"">Clinical</span> Study.</strong></p> <span style=""font-weight: normal;"">Registration in the Florey Clinical Studies Registry is not required.</span><br data-start=""1098"" data-end=""1101"" /> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Thank you - no further action is needed.</span></p> </div></div>",,,,,,,"[ethics_yn] = '0'",,,,,,
intervention_yn,eoi,,yesno,"<div class=""rich-text-field-label""><p>Are you assigning human participants to a health-related intervention to evaluate the effect on health outcomes?</p> <p><span style=""font-weight: normal;""><em>Interventions may be (but are not limited to) pharmaceuticals, devices, biological products, standard care procedures or online/in-person health programs.</em></span></p></div>",,,,,,,"[ethics_yn] = '1'",,RH,,,,
yes_clinical_trial,eoi,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #c1ffc1; padding-top: 10px; padding-right: 10px; padding-bottom: 10px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;"">You <span style=""text-decoration: underline;"">are also</span> conducting a Clinical <span style=""text-decoration: underline;"">Trial.</span></p> <span style=""font-weight: normal;"">Please continue with the survey below.</span></div></div>",,,,,,,"[intervention_yn] = '1'",,,,,,
no_clinical_trial,eoi,,descriptive,"<div class=""rich-text-field-label""><div style=""background-color: #ffe1e1; padding: 15px; border: 1px solid #000000; text-align: center;""> <p style=""margin: 6px; text-align: center;""><strong>You are <u>not</u> conducting a Clinical <u>Trial</u>.</strong></p> <p style=""margin: 6px; text-align: center;""><span style=""font-weight: normal;"">Registration with the Florey Clinical Studies Registry is still required.</span></p> <span style=""font-weight: normal;"">As your study does not meet the criteria for a formal clinical trial, we will only collect a core set of summary information to ensure governance compliance.</span><span style=""font-weight: normal;""><br />Please continue with the survey below.</span></div></div>",,,,,,,"[intervention_yn] = '0'",,,,,,
short_title,eoi,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Study Title</span></p>",text,"Short title / Acronym ",,,,,,,"[intervention_yn] <> """"",y,,,,,
full_title,eoi,,notes,"Full title",,,,,,,"[intervention_yn] <> """"",,,,,,
summary,eoi,,notes,"Please provide a brief summary of the study",,,,,,,"[intervention_yn] <> """"",,,,,,
role,eoi,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Florey Involvement</span></p>",radio,"<div class=""rich-text-field-label""><p>Florey's role in the project<br /><br /><span style=""color: #34495e; font-weight: normal;""><em>Answering this question will determine which aspects of the registry you will need to complete. </em></span></p> <p><span style=""color: #34495e; font-weight: normal;""><em>Please email clinical-governance@florey.edu.au if you are unsure.</em></span></p></div>","0, <strong>Primary Sponsor only</strong><br><em>Entity responsible for the initiation, management and financing of the study and carries medico legal responsibility associated with its conduct</em> | 1, <strong>Local Sponsor only</strong><br><em>For studies with an International Sponsor. All clinical trials conducted in Australia must have a sponsor that is an Australian entity</em> | 2, <strong>Participating Site only | 4, <strong>Both Primary Sponsor and a Participating Site | 3, <strong>Use of Florey premises only</strong><br><em>e.g. use of clinic space or the processing/storage of human data</em>",,,,,,"[intervention_yn] <> """"",,,,,,
activities,eoi,,notes,"Please list the activities being undertaken at the Florey",,,,,,,"[intervention_yn] <> """"",,,,,,
facilities_use,eoi,,checkbox,"<div class=""rich-text-field-label""><p>Florey clinical facilities to be used</p></div>","1, Heidelberg MBC - Clinic Room(s) | 2, Heidelberg MBC - MRI | 3, Heidelberg MBC - Laboratory | 4, Parkville KMB - Laboratory | 5, Oak Street - Clinic Room(s) | 6, None required",,,,,,"[intervention_yn] <> """"",,,,,," @NONEOFTHEABOVE = 5"
ix_label_1,eoi,"<p style=""font-size: 16px; text-align: center;""><span style=""font-weight: bold;"">Primary Contacts",text,"Investigator label",,,,,,,,,,,,," @CALCTEXT(IF([role]=""2"", 'Florey Principal Investigator', 'Chief/Principal Investigator'))
@HIDDEN"
ix_contact_table_1,eoi,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.995%; border-style: none; height: 19.099px;""> <tbody> <tr style=""height: 19.099px; border-top: 1px solid black; border-bottom: 1px solid black;""> <td style=""height: 19.099px; width: 23.9147%; border-left: none; border-right: none;"">[ix_label_1]</td> <td style=""width: 37.2006%; height: 19.099px; border-left: none; border-right: none;""> <p>Name: {ix_name_1}</p> <p>Email: {ix_email_1}</p> </td> <td style=""width: 38.8789%; height: 19.099px; border-left: none; border-right: none;""> <p>Affiliations: {ix_affiliation_1}</p> <p>Phone: {ix_phone_1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[intervention_yn] <> """"",,,,,,
ix_name_1,eoi,,text,"Name of [ix_label_1]",,,,,,,,y,,,,,
ix_affiliation_1,eoi,,text,"Affiliations of [ix_label_1]",,,,,,,,,,,,,
ix_phone_1,eoi,,text,"Contact number of [ix_label_1]",,,,,,,,,,,,,
ix_email_1,eoi,,text,"Email address of [ix_label_1]",,,email,,,,,,,,,,
prim_check_1,eoi,,radio,"Who is the primary contact for the study?","1, [ix_label_1] | 2, Someone else",,,,,,"[intervention_yn] <> """"",,RH,,,,
prim_contact_table_1,eoi,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; height: 83.0625px;""> <tbody> <tr style=""height: 73.0625px;""> <td style=""border-top: 1px solid #000000; border-bottom: 1px solid #000000; border-left: none; border-right: none; height: 83.0625px; width: 19.6513%;"" rowspan=""2""><br />Primary Contact</td> <td style=""width: 39.7267%; border-top: 1px solid #000000; border-bottom: none; border-left: none; border-right: none; height: 73.0625px;""> <p>Name: {prim_name_1}</p> </td> <td style=""width: 40.5749%; border-top: 1px solid #000000; border-bottom: none; border-left: none; border-right: none; height: 73.0625px;""> <p>Role: {prim_role_1}</p> <p>{prim_role_other_1}</p> </td> </tr> <tr style=""height: 10px;""> <td style=""width: 39.7267%; height: 10px; border-bottom: 1px solid #000000; border-left: none; border-right: none;""> <p>Email: {prim_email_1}</p> </td> <td style=""width: 40.5749%; height: 10px; border-bottom: 1px solid #000000; border-left: none; border-right: none;""> <p>Phone: {prim_phone_1}</p> </td> </tr> </tbody> </table></div>",,,,,,,"[prim_check_1] = '2'",,,,,,
prim_name_1,eoi,,text,"Name of Primary Contact",,,,,,,,,,,,,
prim_role_1,eoi,,dropdown,"Primary Contact Role","1, Co-Investigator | 2, Study Coordinator | 3, Research Assistant / Officer | 4, Other",,,,,,,,,,,,
prim_role_other_1,eoi,,text,"Please describe",,,,,,,"[prim_role_1] = '4'",,,,,,
prim_phone_1,eoi,,text,"Contact number of Primary Contact",,,,,,,,,,,,,
prim_email_1,eoi,,text,"Email address of Primary Contact",,,email,,,,,,,,,,
