field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
trial_no,study_details,,text,"REDCap auto number",,,,,,,,y,,,,,
dag,study_details,"System data",descriptive,"The Data Access Group (the unique group name) to which the current user belongs (blank if not in a DAG): [user-dag-name]",,,,,,,,,,,,,@HIDDEN
username,study_details,,text,"The current user's REDCap username",,,,,,,,,,,,,"@USERNAME @HIDDEN"
site,study_details,,calc,"The DAG number","if([username]='govern_gjackson','1',if([username]='govern_cmasters','2',if([username]='govern_abrodtman','3',if([username]='govern_jbernhardt','4',if([username]='govern_vthijs','5',if([username]='govern_khayward','6',if([username]='govern_jkim','7',if([username]='govern_alawrence','8',if([username]='govern_dvaughan','9',if([username]='govern_cstehmann','10',if([username]='govern_ctailby','11',if([username]='govern_abush','12',if([username]='govern_lcarey','13',if([username]='govern_ghalliday','14',if([username]='govern_jwiley_bgu','15',if([username]='govern_dabbot','16',''))))))))))))))))",,,,,,,,,,,,@HIDDEN
today,study_details,,text,"Date of today",,DD-MM-YYYY,date_dmy,,,,,,,,,,"@TODAY @HIDDEN"
role,study_details,"<h4><b><center>CLINICAL STUDY DETAILS</center></b></h4>",radio,"<div class=""rich-text-field-label""><p>Florey's principal role in the Clinical Study<br /><br /><span style=""color: #34495e; font-weight: normal;""><em>Answering this question will determine which aspects of the registry you will need to complete. </em></span></p> <p><span style=""color: #34495e; font-weight: normal;""><em>Please email clinical-governance@florey.edu.au if you are unsure.</em></span></p></div>","0, Primary Sponsor only (entity responsible for the initiation, management and financing of the study and carries medico legal responsibility associated with its conduct) | 1, Local Sponsor only (for studies with an International Sponsor. All clinical trials conducted in Australia must have a sponsor that is an Australian entity) | 2, Florey as a Participating Site only | 4, Both Primary Sponsor and a Participating Site | 3, Use of Florey premises only (e.g. use of clinic space or the processing/storage of human data)",,,,,,,y,,,,,
full_title,study_details,,notes,"Full protocol title",,,,,,,,y,,,,,
short_title,study_details,,text,"Short title/Acronym ",,,,,,,,y,,,,,
protocol_upload_sponsor,study_details,,file,"Please upload a copy of the ethics approved protocol",,,,,,,,y,,,,,@INLINE
trial_type,study_details,,radio,"Type of Study","1, Randomised trial | 2, Cohort study | 3, Case-control study | 4, Cross-sectional study | 5, Qualitative study | 7, Observational study | 6, Other",,,,,,,y,,,,,
trial_type_other,study_details,,text,"Please describe",,,,,,,"[trial_type] = '6'",y,,,,,
trial_phase,study_details,,radio,"Phase of Study","I, Pre-Clinical (Exploratory) | 2, Clinical Phase 1 (First in human, dose finding, safety) | 3, Clinical Phase 2a/b (Determination of safety/efficacy in a small number of people, further evaluation of feasibility) | 4, Clinical Phase 3 (Larger efficacy, further safety monitoring) | 5, Clinical Phase 4 (Post marketing of a proven intervention) | 6, Not applicable",,,,,,"[role]='0' or [role]='1' or [role]='2' or [role]='4'",y,,,,,
phase_other,study_details,,notes,"Please describe",,,,,,,[trial_phase]='6',y,,,,,
part_sponsor_2,study_details,,text,"Name of International Sponsor",,,,,,,[role]='1',y,,,,,
part_sponsor_1,study_details,,text,"Name of Sponsor",,,,,,,[role]='2',y,,,,,
active_closed,study_details,,dropdown,"Current status of study","5, Active - Recruitment Not Commenced | 1, Active - Recruiting | 4, Active - Recruitment Closed | 2, On Hold | 3, Closed / Archived",,,,,,,y,,,,,
funding_start,study_details,,text,"Study start date",,DD-MM-YYYY,date_dmy,,,y,"[role]='0' or [role]='1' or [role]='2' or [role]='4'",y,,,,,
funding_end,study_details,,text,"Study completion date (anticipated) ",,DD-MM-YYYY,date_dmy,,,y,"[role]='0' or [role]='1' or [role]='2' or [role]='4'",y,,,,,
part_number,study_details,,text,"Agreed number of patients to be recruited at Florey?",,,,,,,[role]='2',y,,,,,
chief_investigator,study_details,"Chief Investigator (CI) / Principal Investigator (PI) Details",text,"Name of CI / PI",,,,,,,"[role]='0' or [role]='1' or [role]='2' or [role]='4'",y,,,,,
ci_phone,study_details,,text,"Contact number of CI / PI",,,,,,,"[role]='0' or [role]='1' or [role]='2' or [role]='4'",y,,,,,
ci_email,study_details,,text,"Email address of CI / PI",,,email,,,,"[role]='0' or [role]='1' or [role]='2' or [role]='4'",y,,,,,
